,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2,和值,平均值,尾数和值,奇号个数,偶号个数,奇偶偏差,奇号连续,偶号连续,大号个数,小号个数,大小偏差,尾号组数,AC值,连号个数,连号组数,首尾差,最大间距,同位相同,重号个数,斜号个数
1237,15070,03,09,12,17,18,04,12,59,11.80,29,3,2,1,1,0,1,4,-3,5,4,1,1,15,6,1,1,2
1238,15071,04,06,13,16,34,04,10,73,14.60,23,1,4,-3,0,2,1,4,-3,3,6,0,0,30,18,0,0,3
1239,15072,19,20,21,31,33,09,10,124,24.80,14,4,1,3,2,0,5,0,5,4,3,2,1,14,10,0,0,1
1240,15073,09,26,27,30,34,01,06,126,25.20,26,2,3,-1,0,1,4,1,3,5,5,1,1,25,17,0,0,2
1241,15074,01,12,21,27,33,04,09,94,18.80,14,4,1,3,2,0,3,2,1,4,5,0,0,32,11,0,1,2
1242,15075,13,14,26,27,33,10,12,113,22.60,23,3,2,1,1,1,3,2,1,4,4,2,2,20,12,2,2,2
1243,15076,03,19,21,31,34,05,12,108,21.60,18,4,1,3,3,0,4,1,3,4,6,0,0,31,16,0,0,1
1244,15077,01,16,17,22,28,02,09,84,16.80,24,2,3,-1,0,1,2,3,-1,5,5,1,1,27,15,0,0,1
1245,15078,19,24,26,28,33,01,02,130,26.00,30,2,3,-1,0,2,5,0,5,5,2,0,0,14,5,0,1,0
1246,15079,01,09,17,23,24,04,05,74,14.80,24,4,1,3,3,0,2,3,-1,5,5,1,1,23,8,0,1,1
1247,15080,14,20,29,30,32,03,08,125,25.00,15,1,4,-3,0,2,4,1,3,4,6,1,1,18,9,0,0,0
1248,15081,03,04,10,13,17,05,09,47,9.40,17,3,2,1,1,1,0,5,-5,4,5,1,1,14,6,0,0,1
1249,15082,08,15,28,31,33,03,06,115,23.00,25,3,2,1,1,0,3,2,1,4,6,0,0,25,13,0,0,0
1250,15083,14,16,19,25,29,10,12,103,20.60,33,3,2,1,2,1,3,2,1,4,6,0,0,15,6,0,0,3
1251,15084,10,20,21,32,34,06,07,117,23.40,7,1,4,-3,0,2,4,1,3,4,5,1,1,24,11,0,0,1
1252,15085,02,03,04,06,16,03,12,31,6.20,21,1,4,-3,0,2,0,5,-5,4,4,2,1,14,10,0,0,0
1253,15086,05,09,11,15,32,04,09,72,14.40,22,4,1,3,3,0,1,4,-3,4,4,0,0,27,17,0,0,2
1254,15087,02,05,15,17,22,01,11,61,12.20,21,3,2,1,2,0,1,4,-3,3,6,0,0,20,10,0,2,0
1255,15088,05,15,28,31,34,11,12,113,22.60,23,3,2,1,1,0,3,2,1,4,5,0,0,29,13,0,2,0
1256,15089,05,12,18,20,27,10,12,82,16.40,22,2,3,-1,0,2,3,2,1,5,4,0,0,22,7,1,1,1
1257,15090,06,09,11,17,21,06,08,64,12.80,24,4,1,3,3,0,1,4,-3,4,6,0,0,15,6,0,0,4
1258,15091,02,07,28,29,30,03,07,96,19.20,26,2,3,-1,0,0,3,2,1,5,5,2,1,28,21,0,0,1
1259,15092,02,14,21,27,34,05,08,98,19.60,18,2,3,-1,1,1,3,2,1,4,4,0,0,32,12,1,1,1
1260,15093,16,17,25,26,27,02,04,111,22.20,31,3,2,1,1,0,3,2,1,3,2,3,2,11,8,0,1,1
1261,15094,02,03,10,11,29,03,07,55,11.00,15,3,2,1,1,0,1,4,-3,5,4,2,2,27,18,0,0,0
1262,15095,08,14,26,34,35,05,10,117,23.40,27,1,4,-3,0,3,3,2,1,4,6,1,1,27,12,0,0,0
1263,15096,03,09,12,18,21,02,06,63,12.60,23,3,2,1,1,1,2,3,-1,5,2,0,0,18,6,0,0,1
1264,15097,04,16,17,26,27,01,04,90,18.00,30,2,3,-1,0,1,2,3,-1,3,4,2,2,23,12,0,0,2
1265,15098,09,14,21,27,33,06,09,104,20.80,24,4,1,3,2,0,3,2,1,5,4,0,0,24,7,0,1,1
1266,15099,09,12,14,22,25,05,10,82,16.40,22,2,3,-1,0,2,2,3,-1,4,4,0,0,16,8,1,2,1
1267,15100,09,15,18,23,32,05,07,97,19.40,27,3,2,1,1,0,3,2,1,5,4,0,0,23,9,1,1,2
1268,15101,06,12,17,18,32,07,12,85,17.00,25,1,4,-3,0,2,2,3,-1,4,5,1,1,26,14,1,2,1
1269,15102,11,14,15,33,34,03,12,107,21.40,17,3,2,1,1,0,2,3,-1,4,4,2,2,23,18,0,0,2
1270,15103,07,09,15,25,34,04,10,90,18.00,30,4,1,3,3,0,2,3,-1,4,6,0,0,27,10,2,2,2
1271,15104,16,19,25,30,34,04,09,124,24.80,24,2,3,-1,1,1,4,1,3,5,5,0,0,18,6,1,2,1
1272,15105,08,09,15,21,27,05,09,80,16.00,30,4,1,3,3,0,2,3,-1,5,3,1,1,19,6,0,0,1
1273,15106,02,11,13,22,30,02,03,78,15.60,8,2,3,-1,1,1,2,3,-1,4,4,0,0,28,9,0,0,1
1274,15107,03,23,25,28,29,06,07,108,21.60,28,4,1,3,2,0,4,1,3,4,6,1,1,26,20,0,0,3
1275,15108,01,13,16,26,31,07,12,87,17.40,17,3,2,1,1,1,2,3,-1,3,5,0,0,30,12,0,0,1
1276,15109,01,06,11,22,31,03,12,71,14.20,11,3,2,1,0,0,2,3,-1,3,5,0,0,30,11,2,2,0
1277,15110,02,07,10,22,30,07,11,71,14.20,11,1,4,-3,0,2,2,3,-1,3,4,0,0,28,12,1,1,4
1278,15111,07,08,16,24,28,03,10,83,16.60,33,1,4,-3,0,3,2,3,-1,4,5,1,1,21,8,0,1,1
1279,15112,04,05,15,19,28,04,11,71,14.20,31,3,2,1,2,0,2,3,-1,4,6,1,1,24,10,1,1,1
1280,15113,01,14,21,29,33,02,10,98,19.60,18,4,1,3,2,0,3,2,1,4,6,0,0,32,13,0,0,2
1281,15114,09,18,24,31,34,02,10,116,23.20,26,2,3,-1,0,1,4,1,3,4,6,0,0,25,9,0,0,1
1282,15115,08,12,13,14,16,03,09,63,12.60,23,1,4,-3,0,2,0,5,-5,5,3,2,1,8,4,0,0,1
1283,15116,07,10,19,24,33,03,07,93,18.60,23,3,2,1,0,0,3,2,1,5,4,0,0,26,9,0,0,1
1284,15117,06,17,20,30,33,10,11,106,21.20,16,2,3,-1,0,1,3,2,1,4,4,0,0,27,11,1,1,2
1285,15118,03,07,20,24,31,04,09,85,17.00,15,3,2,1,1,1,3,2,1,5,4,0,0,28,13,1,1,2
1286,15119,01,08,12,16,21,06,11,58,11.60,18,2,3,-1,0,2,1,4,-3,4,5,0,0,20,7,0,0,2
1287,15120,01,09,15,24,32,05,10,81,16.20,21,3,2,1,2,1,2,3,-1,5,4,0,0,31,9,1,1,2
1288,15121,02,04,17,27,28,04,06,78,15.60,28,2,3,-1,1,1,2,3,-1,4,6,1,1,26,13,0,0,1
1289,15122,11,13,15,26,35,06,11,100,20.00,20,4,1,3,2,0,2,3,-1,4,5,0,0,24,11,0,0,1
1290,15123,04,15,27,29,30,02,10,105,21.00,25,3,2,1,2,0,3,2,1,5,6,1,1,26,12,0,1,1
1291,15124,04,06,12,31,32,03,06,85,17.00,15,1,4,-3,0,2,2,3,-1,4,6,1,1,28,19,1,1,1
1292,15125,02,03,15,17,28,08,10,65,13.00,25,3,2,1,2,0,1,4,-3,5,5,1,1,26,12,0,0,1
1293,15126,04,05,08,09,21,03,06,47,9.40,27,3,2,1,1,0,1,4,-3,5,4,2,2,17,12,0,0,1
1294,15127,09,11,14,19,30,03,08,83,16.60,23,3,2,1,1,0,2,3,-1,4,5,0,0,21,11,0,1,1
1295,15128,10,12,23,30,32,03,04,107,21.40,7,1,4,-3,0,2,3,2,1,3,4,0,0,22,11,0,1,2
1296,15129,01,06,23,25,29,03,09,84,16.80,24,4,1,3,2,0,3,2,1,5,6,0,0,28,17,1,1,1
1297,15130,17,25,31,32,34,02,12,139,27.80,19,3,2,1,2,1,4,1,3,5,6,1,1,17,8,0,1,0
1298,15131,11,17,19,20,27,02,03,94,18.80,24,4,1,3,2,0,3,2,1,4,5,1,1,16,7,0,1,0
1299,15132,03,08,14,18,27,01,05,70,14.00,30,2,3,-1,0,2,2,3,-1,4,6,0,0,24,9,1,1,1
1300,15133,03,07,08,25,30,04,08,73,14.60,23,3,2,1,1,0,2,3,-1,5,4,1,1,27,17,1,2,1
1301,15134,01,02,06,15,35,04,07,59,11.80,19,3,2,1,1,1,1,4,-3,4,6,1,1,34,20,0,0,2
1302,15135,05,16,20,25,29,06,08,95,19.00,25,3,2,1,1,1,3,2,1,4,4,0,0,24,11,0,0,2
1303,15136,05,20,23,29,32,02,10,109,21.80,19,3,2,1,1,0,4,1,3,5,4,0,0,27,15,1,3,0
1304,15137,14,17,21,23,26,08,11,101,20.20,21,3,2,1,2,0,3,2,1,5,4,0,0,12,4,0,1,1
1305,15138,01,16,20,29,32,04,07,98,19.60,18,2,3,-1,0,1,3,2,1,5,6,0,0,31,15,0,0,2
1306,15139,02,03,05,25,32,05,07,67,13.40,17,3,2,1,2,0,2,3,-1,3,6,1,1,30,20,1,1,1
1307,15140,01,11,15,26,35,06,11,88,17.60,18,4,1,3,2,0,2,3,-1,3,6,0,0,34,11,0,0,2
1308,15141,02,04,15,19,31,02,03,71,14.20,21,3,2,1,2,1,2,3,-1,5,6,0,0,29,12,1,1,1
1309,15142,12,14,22,26,30,03,06,104,20.80,14,0,5,-5,0,4,3,2,1,4,4,0,0,18,8,0,0,2
1310,15143,09,20,31,33,35,10,11,128,25.60,18,4,1,3,2,0,4,1,3,5,4,0,0,26,11,0,0,1
1311,15144,01,09,24,26,29,06,11,89,17.80,29,3,2,1,1,1,3,2,1,4,6,0,0,28,15,0,1,0
1312,15145,06,07,20,29,32,11,12,94,18.80,24,2,3,-1,0,0,3,2,1,5,6,1,1,26,13,0,1,0
1313,15146,04,15,19,27,31,04,11,96,19.20,26,4,1,3,3,0,3,2,1,5,4,0,0,27,11,0,0,2
1314,15147,01,02,13,18,19,08,10,53,10.60,23,3,2,1,0,0,2,3,-1,5,4,2,2,18,11,0,1,1
1315,15148,08,11,27,31,33,08,09,110,22.00,20,4,1,3,3,0,3,2,1,4,6,0,0,25,16,0,0,0
1316,15149,04,06,10,12,28,02,08,60,12.00,20,0,5,-5,0,4,1,4,-3,5,4,0,0,24,16,0,0,3
1317,15150,04,13,18,25,33,03,07,93,18.60,23,3,2,1,1,0,3,2,1,4,6,0,0,29,9,1,1,1
1318,15151,15,16,18,30,35,01,07,114,22.80,24,2,3,-1,0,2,3,2,1,4,6,1,1,20,12,1,1,0
1319,15152,04,05,22,29,35,02,11,95,19.00,25,3,2,1,1,0,3,2,1,4,6,1,1,31,17,1,1,1
1320,15153,01,07,22,27,33,02,11,90,18.00,20,4,1,3,2,0,3,2,1,4,4,0,0,32,15,1,1,0
1321,16001,01,07,19,20,30,05,10,77,15.40,17,3,2,1,2,1,3,2,1,4,6,1,1,29,12,2,2,0
1322,16002,07,12,18,25,35,07,09,97,19.40,27,3,2,1,1,1,3,2,1,4,6,0,0,28,10,0,1,1
1323,16003,04,12,17,22,26,06,07,81,16.20,21,1,4,-3,0,2,2,3,-1,4,5,0,0,22,8,1,1,2
1324,16004,10,20,23,32,35,09,10,120,24.00,10,2,3,-1,0,1,4,1,3,4,4,0,0,25,10,0,0,1
1325,16005,06,09,12,15,20,08,11,62,12.40,22,2,3,-1,0,0,1,4,-3,5,3,0,0,14,5,0,1,1
1326,16006,14,16,17,22,24,02,09,93,18.60,23,1,4,-3,0,2,2,3,-1,4,4,1,1,10,5,0,0,2
1327,16007,02,05,14,32,35,01,03,88,17.60,18,2,3,-1,0,1,2,3,-1,3,4,0,0,33,18,0,1,0
1328,16008,05,12,31,34,35,04,05,117,23.40,17,3,2,1,0,0,3,2,1,4,6,1,1,30,19,1,2,2
1329,16009,05,08,10,17,20,02,12,60,12.00,20,2,3,-1,0,1,1,4,-3,4,4,0,0,15,7,1,1,0
1330,16010,12,13,15,16,28,02,05,84,16.80,24,2,3,-1,1,1,1,4,-3,5,4,2,2,16,12,0,0,1
1331,16011,02,08,10,15,23,05,10,58,11.60,18,2,3,-1,1,2,1,4,-3,5,4,0,0,21,8,0,1,1
1332,16012,05,07,11,23,28,03,12,74,14.80,24,4,1,3,3,0,2,3,-1,5,6,0,0,23,12,0,1,2
1333,16013,03,21,23,31,35,02,11,113,22.60,13,5,0,5,4,0,4,1,3,3,6,0,0,32,18,0,1,0
1334,16014,06,08,21,24,27,02,10,86,17.20,26,2,3,-1,0,1,3,2,1,5,5,0,0,21,13,0,1,1
1335,16015,01,04,10,13,30,03,09,58,11.60,8,2,3,-1,0,1,1,4,-3,4,4,0,0,29,17,0,0,0
1336,16016,03,10,22,29,32,02,05,96,19.20,16,2,3,-1,0,1,3,2,1,4,4,0,0,29,12,0,1,2
1337,16017,11,18,24,28,29,05,10,110,22.00,30,2,3,-1,0,2,4,1,3,4,6,1,1,18,7,0,1,2
1338,16018,05,10,13,27,33,08,11,88,17.60,18,4,1,3,2,0,2,3,-1,4,6,0,0,28,14,0,0,2
1339,16019,04,11,15,20,26,08,09,76,15.20,16,2,3,-1,1,1,2,3,-1,5,5,0,0,22,7,0,0,3
1340,16020,01,16,22,29,30,02,09,98,19.60,18,2,3,-1,0,1,3,2,1,5,6,1,1,29,15,0,0,1
1341,16021,01,04,09,10,35,09,11,59,11.80,19,3,2,1,0,0,1,4,-3,5,6,1,1,34,25,1,1,0
1342,16022,04,18,21,30,35,02,11,108,21.60,18,2,3,-1,0,1,4,1,3,5,4,0,0,31,14,1,2,0
1343,16023,04,09,14,25,27,06,11,79,15.80,29,3,2,1,1,0,2,3,-1,4,5,0,0,23,11,1,1,0
1344,16024,01,02,11,15,18,04,08,47,9.40,17,3,2,1,1,0,1,4,-3,4,6,1,1,17,9,0,0,1
1345,16025,03,06,13,23,24,07,10,69,13.80,19,3,2,1,1,0,2,3,-1,3,5,1,1,21,10,0,0,1
1346,16026,02,06,29,30,34,01,07,101,20.20,21,1,4,-3,0,2,3,2,1,5,4,1,1,32,23,1,1,1
1347,16027,06,11,13,15,28,02,06,73,14.60,23,3,2,1,2,0,1,4,-3,5,5,0,0,22,13,0,1,1
1348,16028,13,18,20,23,31,03,06,105,21.00,15,3,2,1,1,1,4,1,3,4,5,0,0,18,8,0,1,0
1349,16029,20,26,27,29,32,05,12,134,26.80,24,2,3,-1,1,1,5,0,5,5,4,1,1,12,6,0,1,1
1350,16030,10,19,21,29,33,04,06,112,22.40,22,4,1,3,3,0,4,1,3,4,6,0,0,23,9,1,1,3
1351,16031,03,14,24,27,29,04,11,97,19.40,27,3,2,1,1,1,3,2,1,4,6,0,0,26,11,0,1,0
1352,16032,05,09,14,20,33,05,12,81,16.20,21,3,2,1,1,1,2,3,-1,5,6,0,0,28,13,0,1,0
1353,16033,03,14,15,31,35,09,10,98,19.60,18,4,1,3,2,0,2,3,-1,4,6,1,1,32,16,0,1,1
1354,16034,14,18,31,32,35,09,10,130,26.00,20,2,3,-1,0,1,4,1,3,5,4,1,1,21,13,1,3,2
1355,16035,17,22,24,25,29,09,12,117,23.40,27,3,2,1,1,1,4,1,3,5,4,1,1,12,5,0,0,1
1356,16036,07,15,26,30,31,03,06,109,21.80,19,3,2,1,1,1,3,2,1,5,6,1,1,24,11,0,0,2
1357,16037,03,05,13,24,34,03,05,79,15.80,19,3,2,1,2,1,2,3,-1,3,4,0,0,31,11,0,0,0
1358,16038,03,07,09,15,33,05,12,67,13.40,27,5,0,5,4,0,1,4,-3,4,5,0,0,30,18,1,1,1
1359,16039,01,08,16,22,28,04,05,75,15.00,25,1,4,-3,0,3,2,3,-1,4,5,0,0,27,8,0,0,2
1360,16040,20,22,29,30,35,01,06,136,27.20,16,2,3,-1,0,1,5,0,5,4,6,1,1,15,7,0,1,1
1361,16041,12,23,24,27,34,03,06,120,24.00,20,2,3,-1,0,0,4,1,3,4,5,1,1,22,11,0,0,2
1362,16042,02,06,08,19,24,01,06,59,11.80,29,1,4,-3,0,2,2,3,-1,5,6,0,0,22,11,0,1,1
1363,16043,01,09,16,33,34,09,12,93,18.60,23,3,2,1,1,0,2,3,-1,5,6,1,1,33,17,0,0,2
1364,16044,01,06,10,20,31,05,11,68,13.60,8,2,3,-1,0,2,2,3,-1,3,6,0,0,30,11,1,1,1
1365,16045,07,11,25,30,33,02,08,106,21.20,16,4,1,3,2,0,3,2,1,5,6,0,0,26,14,0,0,3
1366,16046,03,19,22,32,34,08,12,110,22.00,20,2,3,-1,1,2,4,1,3,4,6,0,0,31,16,0,0,2
1367,16047,02,03,23,29,32,05,09,89,17.80,19,3,2,1,2,0,3,2,1,3,6,1,1,30,20,0,2,2
1368,16048,04,12,17,25,27,04,10,85,17.00,25,3,2,1,2,1,2,3,-1,4,4,0,0,23,8,0,0,1
1369,16049,03,04,05,27,33,04,09,72,14.40,22,4,1,3,2,0,2,3,-1,4,5,2,1,30,22,0,2,2
1370,16050,07,17,21,29,35,04,05,109,21.80,29,5,0,5,4,0,3,2,1,4,5,0,0,28,10,0,0,0
1371,16051,16,21,23,24,32,07,08,116,23.20,16,2,3,-1,1,1,4,1,3,5,5,1,1,16,8,0,1,1
1372,16052,08,14,19,20,33,10,11,94,18.80,24,2,3,-1,0,1,3,2,1,5,5,1,1,25,13,0,0,2
1373,16053,04,13,15,30,35,03,05,97,19.40,17,3,2,1,1,0,2,3,-1,4,6,0,0,31,15,0,0,2
1374,16054,02,05,09,21,30,06,07,67,13.40,17,3,2,1,2,0,2,3,-1,5,6,0,0,28,12,0,1,1
1375,16055,06,21,27,30,34,04,09,118,23.60,18,2,3,-1,1,1,4,1,3,5,6,0,0,28,15,0,2,1
1376,16056,10,12,14,31,35,04,05,102,20.40,12,2,3,-1,1,2,2,3,-1,5,3,0,0,25,17,0,0,2
1377,16057,08,17,19,23,30,03,08,97,19.40,27,3,2,1,2,0,3,2,1,5,5,0,0,22,9,0,0,1
1378,16058,02,15,17,23,28,05,09,85,17.00,25,3,2,1,2,0,2,3,-1,5,5,0,0,26,13,1,2,0
1379,16059,02,10,27,28,33,05,07,100,20.00,20,2,3,-1,0,1,3,2,1,5,6,1,1,31,17,1,2,1
1380,16060,02,06,22,27,34,08,11,91,18.20,21,1,4,-3,0,2,3,2,1,4,6,0,0,32,16,1,2,2
1381,16061,09,15,17,21,23,07,12,85,17.00,25,5,0,5,4,0,2,3,-1,5,2,0,0,14,6,0,0,2
1382,16062,02,10,14,15,35,01,09,76,15.20,16,2,3,-1,1,2,1,4,-3,4,6,1,1,33,20,0,1,2
1383,16063,08,12,22,27,35,05,09,104,20.80,24,2,3,-1,1,2,3,2,1,4,6,0,0,27,10,1,1,0
1384,16064,01,02,10,18,35,05,11,66,13.20,16,2,3,-1,0,2,2,3,-1,5,4,1,1,34,17,1,1,0
1385,16065,01,09,18,22,24,11,12,74,14.80,24,2,3,-1,1,2,3,2,1,5,6,0,0,23,9,1,2,2
1386,16066,10,28,29,31,33,05,11,131,26.20,21,3,2,1,2,1,4,1,3,5,5,1,1,23,18,0,0,1
1387,16067,02,08,11,13,19,02,08,53,10.60,23,3,2,1,2,1,1,4,-3,5,4,0,0,17,6,0,0,1
1388,16068,05,07,22,26,34,07,12,94,18.80,24,2,3,-1,1,2,3,2,1,5,6,0,0,29,15,0,0,1
1389,16069,14,17,19,23,30,02,09,103,20.60,23,3,2,1,2,0,3,2,1,5,6,0,0,16,7,0,0,1
1390,16070,02,09,13,19,23,05,07,66,13.20,26,4,1,3,3,0,2,3,-1,3,4,0,0,21,7,0,2,1
1391,16071,08,15,19,20,33,07,12,95,19.00,25,3,2,1,1,0,3,2,1,5,6,1,1,25,13,0,1,2
1392,16072,16,20,24,26,31,04,09,117,23.40,17,1,4,-3,0,3,4,1,3,4,5,0,0,15,5,0,1,2
1393,16073,07,14,17,24,27,08,10,89,17.80,29,3,2,1,0,0,2,3,-1,2,2,0,0,20,7,0,1,2
1394,16074,01,05,07,11,14,03,08,38,7.60,18,4,1,3,3,0,0,5,-5,4,4,0,0,13,4,0,2,0
1395,16075,03,07,17,22,31,08,12,80,16.00,20,4,1,3,2,0,2,3,-1,4,5,0,0,28,10,0,1,0
1396,16076,03,08,10,17,31,05,06,69,13.80,19,3,2,1,1,1,1,4,-3,5,4,0,0,28,14,2,3,1
1397,16077,09,11,14,16,35,02,05,85,17.00,25,3,2,1,1,1,1,4,-3,5,4,0,0,26,19,0,0,3
1398,16078,07,18,29,31,35,05,11,120,24.00,30,4,1,3,2,0,4,1,3,5,5,0,0,28,11,1,1,0
1399,16079,07,14,15,20,27,05,10,83,16.60,23,3,2,1,0,0,2,3,-1,4,4,1,1,20,7,1,1,0
1400,16080,15,20,29,30,33,07,12,127,25.40,17,3,2,1,0,0,4,1,3,4,6,1,1,18,9,0,2,1
1401,16081,06,07,18,21,33,03,08,85,17.00,25,3,2,1,1,0,3,2,1,5,4,1,1,27,12,1,1,1
1402,16082,03,08,23,28,29,02,07,91,18.20,31,3,2,1,0,0,3,2,1,3,4,1,1,26,15,0,0,1
1403,16083,01,05,09,33,35,01,05,83,16.60,23,5,0,5,4,0,2,3,-1,4,5,0,0,34,24,0,0,1
1404,16084,08,12,15,26,35,01,08,96,19.20,26,2,3,-1,0,1,2,3,-1,4,6,0,0,27,11,1,1,1
1405,16085,14,15,27,31,32,01,07,119,23.80,19,3,2,1,2,0,3,2,1,5,4,2,2,18,12,0,1,2
1406,16086,03,05,22,25,30,07,09,85,17.00,15,3,2,1,1,0,3,2,1,4,6,0,0,27,17,0,0,1
1407,16087,03,16,17,23,25,07,09,84,16.80,24,4,1,3,2,0,2,3,-1,4,6,1,1,22,13,1,2,1
1408,16088,04,06,17,21,30,06,11,78,15.60,18,2,3,-1,1,1,2,3,-1,5,5,0,0,26,11,1,1,2
1409,16089,07,14,17,28,34,07,10,100,20.00,30,2,3,-1,0,1,2,3,-1,3,6,0,0,27,11,1,1,1
1410,16090,04,06,08,28,32,07,12,78,15.60,28,0,5,-5,0,4,2,3,-1,4,3,0,0,28,20,1,1,2
1411,16091,08,13,17,21,22,02,08,81,16.20,21,3,2,1,2,0,2,3,-1,5,3,1,1,14,5,0,1,0
1412,16092,02,13,31,33,34,07,11,113,22.60,13,3,2,1,2,0,3,2,1,4,6,1,1,32,18,1,1,0
1413,16093,01,08,14,30,35,06,07,88,17.60,18,2,3,-1,0,2,2,3,-1,5,6,0,0,34,16,0,0,4
1414,16094,01,14,16,17,18,05,07,66,13.20,26,2,3,-1,0,1,1,4,-3,5,4,2,1,17,13,1,2,0
1415,16095,08,12,18,19,21,03,06,78,15.60,28,2,3,-1,1,2,3,2,1,4,6,1,1,13,6,0,1,2
1416,16096,01,06,08,12,21,05,10,48,9.60,18,2,3,-1,0,2,1,4,-3,4,6,0,0,20,9,1,3,0
1417,16097,06,08,18,31,33,10,12,96,19.20,26,2,3,-1,1,2,3,2,1,4,4,0,0,27,13,0,2,0
1418,16098,08,09,11,20,29,04,05,77,15.40,27,3,2,1,1,0,2,3,-1,4,5,1,1,21,9,0,1,1
1419,16099,03,04,12,14,27,01,05,60,12.00,20,2,3,-1,0,2,1,4,-3,4,6,1,1,24,13,0,0,1
1420,16100,08,12,19,26,30,02,12,95,19.00,25,1,4,-3,0,2,3,2,1,5,2,0,0,22,7,0,1,1
1421,16101,04,06,28,33,35,07,12,106,21.20,26,2,3,-1,1,2,3,2,1,5,4,0,0,31,22,0,0,0
1422,16102,03,05,06,34,35,03,12,83,16.60,23,3,2,1,1,1,2,3,-1,4,4,2,2,32,28,1,2,3
1423,16103,05,14,20,23,29,03,11,91,18.20,21,3,2,1,1,1,3,2,1,5,2,0,0,24,9,0,1,1
1424,16104,01,20,22,23,30,06,07,96,19.20,6,2,3,-1,0,1,4,1,3,4,6,1,1,29,19,1,2,2
1425,16105,08,11,31,34,35,01,02,119,23.80,19,3,2,1,1,0,3,2,1,4,4,1,1,27,20,0,0,1
1426,16106,03,21,30,33,35,01,04,122,24.40,12,4,1,3,2,0,4,1,3,4,6,0,0,32,18,1,1,3
1427,16107,02,06,19,24,26,04,06,77,15.40,27,1,4,-3,0,2,3,2,1,4,6,0,0,24,13,0,0,1
1428,16108,10,17,22,23,25,07,09,97,19.40,17,3,2,1,1,0,3,2,1,5,6,1,1,15,7,0,0,2
1429,16109,03,25,28,31,34,11,12,121,24.20,21,3,2,1,1,0,4,1,3,5,3,0,0,31,22,0,1,0
1430,16110,07,20,21,23,30,07,10,101,20.20,11,3,2,1,1,0,4,1,3,4,6,1,1,23,13,0,0,1
1431,16111,04,09,22,26,27,02,12,88,17.60,28,2,3,-1,0,1,3,2,1,5,4,1,1,23,13,0,0,1
1432,16112,07,22,23,31,32,04,05,115,23.00,15,3,2,1,1,0,4,1,3,4,4,2,2,25,15,0,1,1
1433,16113,10,11,17,30,34,03,12,102,20.40,12,2,3,-1,1,1,2,3,-1,4,6,1,1,24,13,0,0,1
1434,16114,16,17,20,32,33,03,07,118,23.60,18,2,3,-1,0,1,3,2,1,5,4,2,2,17,12,0,1,2
1435,16115,01,04,15,31,34,02,11,85,17.00,15,3,2,1,1,0,2,3,-1,3,4,0,0,33,16,0,0,3
1436,16116,04,06,08,19,34,10,12,71,14.20,31,1,4,-3,0,2,2,3,-1,4,4,0,0,30,15,1,2,0
1437,16117,03,09,14,16,23,02,09,65,13.00,25,3,2,1,1,1,1,4,-3,4,5,0,0,20,7,0,0,2
1438,16118,12,15,18,24,29,03,11,98,19.60,28,2,3,-1,0,1,3,2,1,5,4,0,0,17,6,0,0,2
1439,16119,02,03,09,21,22,05,10,57,11.40,17,3,2,1,2,0,2,3,-1,4,4,2,2,20,12,0,0,0
1440,16120,03,10,20,32,34,04,07,99,19.80,9,1,4,-3,0,3,3,2,1,4,6,0,0,31,12,0,1,3
1441,16121,04,05,08,15,20,01,06,52,10.40,22,2,3,-1,0,0,1,4,-3,4,6,1,1,16,7,0,1,1
1442,16122,01,03,12,14,29,02,06,59,11.80,19,3,2,1,1,1,1,4,-3,5,4,0,0,28,15,0,0,2
1443,16123,04,05,13,20,32,01,10,74,14.80,14,2,3,-1,1,1,2,3,-1,5,6,1,1,28,12,0,0,2
1444,16124,04,13,24,26,29,08,11,96,19.20,26,2,3,-1,0,1,3,2,1,4,6,0,0,25,11,1,2,1
1445,16125,06,07,08,28,30,01,02,79,15.80,29,1,4,-3,0,2,2,3,-1,4,3,2,1,24,20,0,0,2
1446,16126,11,13,16,19,24,06,08,83,16.60,23,3,2,1,1,0,2,3,-1,5,3,0,0,13,5,0,0,0
1447,16127,01,05,15,24,26,09,10,71,14.20,21,3,2,1,2,1,2,3,-1,4,6,0,0,25,10,0,1,1
1448,16128,17,20,22,30,33,07,08,122,24.40,12,2,3,-1,0,2,4,1,3,4,4,0,0,16,8,0,0,0
1449,16129,07,08,19,30,35,08,09,99,19.80,29,3,2,1,0,0,3,2,1,5,5,1,1,28,11,1,1,1
1450,16130,11,23,32,33,34,01,12,133,26.60,13,3,2,1,1,0,4,1,3,4,5,2,1,23,12,0,0,1
1451,16131,06,13,25,28,30,02,07,102,20.40,22,2,3,-1,1,1,3,2,1,5,6,0,0,24,12,0,0,0
1452,16132,04,18,19,22,35,01,02,98,19.60,28,2,3,-1,0,1,4,1,3,5,6,1,1,31,14,0,0,0
1453,16133,01,04,05,23,28,05,09,61,12.20,21,3,2,1,1,0,2,3,-1,5,6,1,1,27,18,0,1,2
1454,16134,01,03,31,32,34,02,07,101,20.20,11,3,2,1,2,1,3,2,1,4,4,1,1,33,28,1,1,1
1455,16135,01,10,12,18,35,01,12,76,15.20,16,2,3,-1,0,2,2,3,-1,5,5,0,0,34,17,1,1,1
1456,16136,05,06,07,19,23,04,11,60,12.00,30,4,1,3,2,0,2,3,-1,5,5,2,1,18,12,0,0,1
